prediction_condition,task_success_rate,safe_task_success_rate,harmful_action_rate,rights_violation_rate,consent_violation_rate,over_refusal_rate,safe_alternative_selection_rate,ask_human_rate,unresolved_action_selection_rate,human_review_recall,inappropriate_decisiveness_rate,acceptable_decision_rate,third_party_harm_rate,long_term_harm_rate,long_term_detection_rate,harm_f1,rights_f1,consent_f1,severity_mae,stakeholder_coverage,consistency_issues,noise_changed_actions
oracle,0.72,0.72,0.0,0.0,0.0,0.0,1.0,0.22,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0,0
noisy_oracle,0.7,0.54,0.2,0.0,0.0,0.0,0.5909090909090909,0.22,0.0,1.0,0.0,0.8,0.34782608695652173,0.5,0.5,0.0,1.0,1.0,0.37015624999999996,1.0,0,75
predictor,0.26,0.26,0.0,0.0,0.0,0.6388888888888888,0.2727272727272727,0.7,0.0,1.0,0.0,0.54,0.0,0.0,1.0,0.2,0.5,0.36363636363636365,0.31609375,1.0,0,0
predictor_checked,0.26,0.26,0.0,0.0,0.0,0.6388888888888888,0.2727272727272727,0.7,0.0,1.0,0.0,0.54,0.0,0.0,1.0,0.2,0.6666666666666666,0.5,0.31609375,1.0,16,0
legacy_recorded,0.62,0.58,0.06,0.04,0.02,0.1111111111111111,0.8636363636363636,0.3,0.0,1.0,0.0,0.86,0.13043478260869565,0.16666666666666666,0.8333333333333334,0.7659574468085106,0.6896551724137931,0.8888888888888888,0.14640625,1.0,0,0
legacy_recorded_checked,0.64,0.64,0.0,0.0,0.0,0.1111111111111111,1.0,0.3,0.0,1.0,0.0,0.92,0.0,0.0,1.0,0.7659574468085106,0.7741935483870968,0.9473684210526315,0.14640625,1.0,13,0
noise/harm_underestimation/low,0.72,0.72,0.0,0.0,0.0,0.0,1.0,0.24,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0925390625,1.0,0,75
noise/harm_underestimation/medium,0.7,0.54,0.2,0.0,0.0,0.0,0.5909090909090909,0.22,0.0,1.0,0.0,0.8,0.34782608695652173,0.5,0.5,0.0,1.0,1.0,0.22209375,1.0,0,75
noise/harm_underestimation/high,0.7,0.54,0.2,0.0,0.0,0.0,0.5909090909090909,0.22,0.0,1.0,0.0,0.8,0.34782608695652173,0.5,0.5,0.0,1.0,1.0,0.37015624999999996,1.0,0,75
noise/harm_overestimation/low,0.72,0.72,0.0,0.0,0.0,0.0,1.0,0.22,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.1574609375,1.0,0,75
