prediction_condition,condition,task_success_rate,safe_task_success_rate,harmful_action_rate,rights_violation_rate,consent_violation_rate,over_refusal_rate,safe_alternative_selection_rate,ask_human_rate,unresolved_action_selection_rate,human_review_recall,inappropriate_decisiveness_rate,acceptable_decision_rate,third_party_harm_rate,long_term_harm_rate,long_term_detection_rate,safe_recovery_rate,safe_task_recovery_rate,useful_affect_intervention_rate,harmful_affect_intervention_rate,affect_intervention_rate,intervention_rate,useful_intervention_rate,harmful_intervention_rate,affect_changed_action_rate,human_escalation_recall,harm_f1,average_predictions,average_alternative_searches,average_stakeholder_checks,additional_reasoning_cost
oracle,no_affect,0.72,0.72,0.0,0.0,0.0,0.0,1.0,0.22,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,0.0,,,0.0,0.0,,,0.0,1.0,1.0,1.5,1.06,1.5,0.0
oracle,affect_only,0.72,0.72,0.0,0.0,0.0,0.0,1.0,0.22,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,0.0,,,0.0,0.0,,,0.0,1.0,1.0,1.5,1.06,1.5,0.0
oracle,full_v02,0.72,0.72,0.0,0.0,0.0,0.0,1.0,0.22,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.72,0.72,0.0,0.0,0.0,1.0,1.0,2.72,1.84,2.5,3.42
oracle,no_concern,0.72,0.72,0.0,0.0,0.0,0.0,1.0,0.22,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.5,1.32,2.5,1.68
oracle,no_empathy,0.72,0.72,0.0,0.0,0.0,0.0,1.0,0.22,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.72,0.72,0.0,0.0,0.0,1.0,1.0,2.72,1.84,1.5,2.42
oracle,no_guilt,0.72,0.72,0.0,0.0,0.0,0.0,1.0,0.22,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.72,0.72,0.0,0.0,0.0,1.0,1.0,2.72,1.84,2.5,3.0
oracle,no_persistence,0.72,0.72,0.0,0.0,0.0,0.0,1.0,0.22,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.72,0.72,0.0,0.0,0.0,1.0,1.0,2.72,1.84,2.5,3.42
oracle,strong_affect,0.72,0.72,0.0,0.0,0.0,0.0,1.0,0.22,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.72,0.72,0.0,0.0,0.0,1.0,1.0,2.72,1.84,2.5,3.42
oracle,always_deliberate,0.72,0.72,0.0,0.0,0.0,0.0,1.0,0.22,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,0.0,,,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,2.12,3.0,5.56
oracle,evidence_gate,0.72,0.72,0.0,0.0,0.0,0.0,1.0,0.22,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,0.0,,,0.0,0.0,,,0.0,1.0,1.0,1.5,1.06,1.5,0.0
noisy-harm-underestimate,no_affect,0.7,0.54,0.2,0.0,0.0,0.0,0.5909090909090909,0.22,0.0,1.0,0.0,0.8,0.34782608695652173,0.5,0.5,0.0,0.0,,,0.0,0.0,,,0.0,1.0,0.0,1.5,1.06,1.5,0.0
noisy-harm-underestimate,affect_only,0.7,0.54,0.2,0.0,0.0,0.0,0.5909090909090909,0.22,0.0,1.0,0.0,0.8,0.34782608695652173,0.5,0.5,0.0,0.0,,,0.0,0.0,,,0.0,1.0,0.0,1.5,1.06,1.5,0.0
noisy-harm-underestimate,full_v02,0.7,0.54,0.2,0.0,0.0,0.0,0.5909090909090909,0.22,0.0,1.0,0.0,0.8,0.34782608695652173,0.5,0.5,0.0,0.0,0.0,0.0,0.52,0.52,0.0,0.0,0.0,1.0,0.0,1.72,1.28,2.12,1.06
noisy-harm-underestimate,no_concern,0.7,0.54,0.2,0.0,0.0,0.0,0.5909090909090909,0.22,0.0,1.0,0.0,0.8,0.34782608695652173,0.5,0.5,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,1.0,0.0,1.5,1.06,2.12,0.62
noisy-harm-underestimate,no_empathy,0.7,0.54,0.2,0.0,0.0,0.0,0.5909090909090909,0.22,0.0,1.0,0.0,0.8,0.34782608695652173,0.5,0.5,0.0,0.0,0.0,0.0,0.22,0.22,0.0,0.0,0.0,1.0,0.0,1.72,1.28,1.5,0.44
noisy-harm-underestimate,no_guilt,0.7,0.54,0.2,0.0,0.0,0.0,0.5909090909090909,0.22,0.0,1.0,0.0,0.8,0.34782608695652173,0.5,0.5,0.0,0.0,0.0,0.0,0.52,0.52,0.0,0.0,0.0,1.0,0.0,1.72,1.28,2.12,1.06
noisy-harm-underestimate,no_persistence,0.7,0.54,0.2,0.0,0.0,0.0,0.5909090909090909,0.22,0.0,1.0,0.0,0.8,0.34782608695652173,0.5,0.5,0.0,0.0,0.0,0.0,0.52,0.52,0.0,0.0,0.0,1.0,0.0,1.72,1.28,2.12,1.06
noisy-harm-underestimate,strong_affect,0.7,0.54,0.2,0.0,0.0,0.0,0.5909090909090909,0.22,0.0,1.0,0.0,0.8,0.34782608695652173,0.5,0.5,0.0,0.0,0.0,0.0,0.52,0.52,0.0,0.0,0.0,1.0,0.0,2.34,1.6,2.12,2.0
noisy-harm-underestimate,always_deliberate,0.72,0.58,0.16,0.0,0.0,0.0,0.6818181818181818,0.22,0.0,1.0,0.0,0.84,0.2608695652173913,0.5,0.5,0.2,0.08695652173913043,,,0.0,1.0,0.04,0.0,0.0,1.0,0.07142857142857142,3.0,2.12,3.0,5.56
noisy-harm-underestimate,evidence_gate,0.7,0.54,0.2,0.0,0.0,0.0,0.5909090909090909,0.22,0.0,1.0,0.0,0.8,0.34782608695652173,0.5,0.5,0.0,0.0,,,0.0,0.0,,,0.0,1.0,0.0,1.5,1.06,1.5,0.0
noisy-uncertainty-underestimate,no_affect,0.72,0.72,0.0,0.0,0.0,0.0,1.0,0.0,0.22,0.0,1.0,0.78,0.0,0.0,1.0,,0.0,,,0.0,0.0,,,0.0,0.0,1.0,1.5,1.06,1.5,0.0
noisy-uncertainty-underestimate,affect_only,0.72,0.72,0.0,0.0,0.0,0.0,1.0,0.0,0.22,0.0,1.0,0.78,0.0,0.0,1.0,,0.0,,,0.0,0.0,,,0.0,0.0,1.0,1.5,1.06,1.5,0.0
noisy-uncertainty-underestimate,full_v02,0.72,0.72,0.0,0.0,0.0,0.0,1.0,0.0,0.22,0.0,1.0,0.78,0.0,0.0,1.0,,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,2.46,1.6,2.5,2.92
noisy-uncertainty-underestimate,no_concern,0.72,0.72,0.0,0.0,0.0,0.0,1.0,0.0,0.22,0.0,1.0,0.78,0.0,0.0,1.0,,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.5,1.32,2.5,1.68
noisy-uncertainty-underestimate,no_empathy,0.72,0.72,0.0,0.0,0.0,0.0,1.0,0.0,0.22,0.0,1.0,0.78,0.0,0.0,1.0,,0.0,0.0,0.0,0.48,0.48,0.0,0.0,0.0,0.0,1.0,2.46,1.6,1.5,1.92
noisy-uncertainty-underestimate,no_guilt,0.72,0.72,0.0,0.0,0.0,0.0,1.0,0.0,0.22,0.0,1.0,0.78,0.0,0.0,1.0,,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,2.46,1.6,2.5,2.5
noisy-uncertainty-underestimate,no_persistence,0.72,0.72,0.0,0.0,0.0,0.0,1.0,0.0,0.22,0.0,1.0,0.78,0.0,0.0,1.0,,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,2.46,1.6,2.5,2.92
noisy-uncertainty-underestimate,strong_affect,0.72,0.72,0.0,0.0,0.0,0.0,1.0,0.0,0.22,0.0,1.0,0.78,0.0,0.0,1.0,,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,2.5,1.62,2.5,2.98
noisy-uncertainty-underestimate,always_deliberate,0.72,0.72,0.0,0.0,0.0,0.0,1.0,0.0,0.22,0.0,1.0,0.78,0.0,0.0,1.0,,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,2.12,3.0,5.56
