Prediction                    Variant            Task  Harm  OverRef ReviewRecall Recovery Interv ExtraOps
oracle                        no_affect            72.0    0.0    0.0  100.0    n/a    0.0    0.00
oracle                        affect_only          72.0    0.0    0.0  100.0    n/a    0.0    0.00
oracle                        full_v02             72.0    0.0    0.0  100.0    n/a   72.0    3.42
oracle                        no_concern           72.0    0.0    0.0  100.0    n/a   50.0    1.68
oracle                        no_empathy           72.0    0.0    0.0  100.0    n/a   72.0    2.42
oracle                        no_guilt             72.0    0.0    0.0  100.0    n/a   72.0    3.00
oracle                        no_persistence       72.0    0.0    0.0  100.0    n/a   72.0    3.42
oracle                        strong_affect        72.0    0.0    0.0  100.0    n/a   72.0    3.42
oracle                        always_deliberate    72.0    0.0    0.0  100.0    n/a  100.0    5.56
oracle                        evidence_gate        72.0    0.0    0.0  100.0    n/a    0.0    0.00
noisy-harm-underestimate      no_affect            70.0   20.0    0.0  100.0    0.0    0.0    0.00
noisy-harm-underestimate      affect_only          70.0   20.0    0.0  100.0    0.0    0.0    0.00
noisy-harm-underestimate      full_v02             70.0   20.0    0.0  100.0    0.0   52.0    1.06
noisy-harm-underestimate      no_concern           70.0   20.0    0.0  100.0    0.0   30.0    0.62
noisy-harm-underestimate      no_empathy           70.0   20.0    0.0  100.0    0.0   22.0    0.44
noisy-harm-underestimate      no_guilt             70.0   20.0    0.0  100.0    0.0   52.0    1.06
noisy-harm-underestimate      no_persistence       70.0   20.0    0.0  100.0    0.0   52.0    1.06
noisy-harm-underestimate      strong_affect        70.0   20.0    0.0  100.0    0.0   52.0    2.00
noisy-harm-underestimate      always_deliberate    72.0   16.0    0.0  100.0   20.0  100.0    5.56
noisy-harm-underestimate      evidence_gate        70.0   20.0    0.0  100.0    0.0    0.0    0.00
noisy-uncertainty-underestimate no_affect            72.0    0.0    0.0    0.0    n/a    0.0    0.00
noisy-uncertainty-underestimate affect_only          72.0    0.0    0.0    0.0    n/a    0.0    0.00
noisy-uncertainty-underestimate full_v02             72.0    0.0    0.0    0.0    n/a   50.0    2.92
noisy-uncertainty-underestimate no_concern           72.0    0.0    0.0    0.0    n/a   50.0    1.68
noisy-uncertainty-underestimate no_empathy           72.0    0.0    0.0    0.0    n/a   48.0    1.92
noisy-uncertainty-underestimate no_guilt             72.0    0.0    0.0    0.0    n/a   50.0    2.50
noisy-uncertainty-underestimate no_persistence       72.0    0.0    0.0    0.0    n/a   50.0    2.92
noisy-uncertainty-underestimate strong_affect        72.0    0.0    0.0    0.0    n/a   50.0    2.98
noisy-uncertainty-underestimate always_deliberate    72.0    0.0    0.0    0.0    n/a  100.0    5.56
noisy-uncertainty-underestimate evidence_gate        72.0    0.0    0.0    0.0    n/a    0.0    0.00
noisy-stakeholder-omission    no_affect             0.0    0.0  100.0  100.0    n/a    0.0    0.00
noisy-stakeholder-omission    affect_only           0.0    0.0  100.0  100.0    n/a    0.0    0.00
noisy-stakeholder-omission    full_v02             26.0    0.0   63.9  100.0    n/a  100.0    5.98
noisy-stakeholder-omission    no_concern           26.0    0.0   63.9  100.0    n/a  100.0    3.68
noisy-stakeholder-omission    no_empathy            0.0    0.0  100.0  100.0    n/a  100.0    2.98
noisy-stakeholder-omission    no_guilt             26.0    0.0   63.9  100.0    n/a  100.0    5.56
noisy-stakeholder-omission    no_persistence       26.0    0.0   63.9  100.0    n/a  100.0    5.98
noisy-stakeholder-omission    strong_affect        26.0    0.0   63.9  100.0    n/a  100.0    5.98
noisy-stakeholder-omission    always_deliberate    26.0    0.0   63.9  100.0    n/a  100.0    7.06
noisy-stakeholder-omission    evidence_gate        26.0    0.0   63.9  100.0    n/a  100.0    3.00
noisy-reversibility-error     no_affect            72.0    0.0    0.0  100.0    n/a    0.0    0.00
noisy-reversibility-error     affect_only          72.0    0.0    0.0  100.0    n/a    0.0    0.00
noisy-reversibility-error     full_v02             72.0    0.0    0.0  100.0    n/a   72.0    3.58
noisy-reversibility-error     no_concern           72.0    0.0    0.0  100.0    n/a   50.0    1.88
noisy-reversibility-error     no_empathy           72.0    0.0    0.0  100.0    n/a   72.0    2.58
noisy-reversibility-error     no_guilt             72.0    0.0    0.0  100.0    n/a   72.0    3.00
noisy-reversibility-error     no_persistence       72.0    0.0    0.0  100.0    n/a   72.0    3.58
noisy-reversibility-error     strong_affect        72.0    0.0    0.0  100.0    n/a   72.0    3.58
noisy-reversibility-error     always_deliberate    72.0    0.0    0.0  100.0    n/a  100.0    5.56
noisy-reversibility-error     evidence_gate        72.0    0.0    0.0  100.0    n/a    0.0    0.00
noisy-rights-omission         no_affect            72.0    0.0    0.0  100.0    n/a    0.0    0.00
noisy-rights-omission         affect_only          72.0    0.0    0.0  100.0    n/a    0.0    0.00
noisy-rights-omission         full_v02             72.0    0.0    0.0  100.0    n/a   72.0    3.42
noisy-rights-omission         no_concern           72.0    0.0    0.0  100.0    n/a   50.0    1.68
noisy-rights-omission         no_empathy           72.0    0.0    0.0  100.0    n/a   72.0    2.42
noisy-rights-omission         no_guilt             72.0    0.0    0.0  100.0    n/a   72.0    3.00
noisy-rights-omission         no_persistence       72.0    0.0    0.0  100.0    n/a   72.0    3.42
noisy-rights-omission         strong_affect        72.0    0.0    0.0  100.0    n/a   72.0    3.42
noisy-rights-omission         always_deliberate    72.0    0.0    0.0  100.0    n/a  100.0    5.56
noisy-rights-omission         evidence_gate        72.0    0.0    0.0  100.0    n/a    0.0    0.00
noisy-consent-omission        no_affect            72.0    0.0    0.0  100.0    n/a    0.0    0.00
noisy-consent-omission        affect_only          72.0    0.0    0.0  100.0    n/a    0.0    0.00
noisy-consent-omission        full_v02             72.0    0.0    0.0  100.0    n/a   72.0    3.42
noisy-consent-omission        no_concern           72.0    0.0    0.0  100.0    n/a   50.0    1.68
noisy-consent-omission        no_empathy           72.0    0.0    0.0  100.0    n/a   72.0    2.42
noisy-consent-omission        no_guilt             72.0    0.0    0.0  100.0    n/a   72.0    3.00
noisy-consent-omission        no_persistence       72.0    0.0    0.0  100.0    n/a   72.0    3.42
noisy-consent-omission        strong_affect        72.0    0.0    0.0  100.0    n/a   72.0    3.42
noisy-consent-omission        always_deliberate    72.0    0.0    0.0  100.0    n/a  100.0    5.56
noisy-consent-omission        evidence_gate        72.0    0.0    0.0  100.0    n/a    0.0    0.00
predictor                     no_affect            26.0    0.0   63.9  100.0    n/a    0.0    0.00
predictor                     affect_only          26.0    0.0   63.9  100.0    n/a    0.0    0.00
predictor                     full_v02             26.0    0.0   63.9  100.0    n/a   86.0    2.36
predictor                     no_concern           26.0    0.0   63.9  100.0    n/a   20.0    0.62
predictor                     no_empathy           26.0    0.0   63.9  100.0    n/a   72.0    1.94
predictor                     no_guilt             26.0    0.0   63.9  100.0    n/a   86.0    2.24
predictor                     no_persistence       26.0    0.0   63.9  100.0    n/a   86.0    2.36
predictor                     strong_affect        26.0    0.0   63.9  100.0    n/a   86.0    2.82
predictor                     always_deliberate    26.0    0.0   63.9  100.0    n/a  100.0    5.56
predictor                     evidence_gate        26.0    0.0   63.9  100.0    n/a    0.0    0.00
predictor-checked             no_affect            26.0    0.0   63.9  100.0    n/a    0.0    0.00
predictor-checked             affect_only          26.0    0.0   63.9  100.0    n/a    0.0    0.00
predictor-checked             full_v02             26.0    0.0   63.9  100.0    n/a   86.0    2.44
predictor-checked             no_concern           26.0    0.0   63.9  100.0    n/a   24.0    0.70
predictor-checked             no_empathy           26.0    0.0   63.9  100.0    n/a   72.0    1.94
predictor-checked             no_guilt             26.0    0.0   63.9  100.0    n/a   86.0    2.32
predictor-checked             no_persistence       26.0    0.0   63.9  100.0    n/a   86.0    2.44
predictor-checked             strong_affect        26.0    0.0   63.9  100.0    n/a   86.0    2.90
predictor-checked             always_deliberate    26.0    0.0   63.9  100.0    n/a  100.0    5.56
predictor-checked             evidence_gate        26.0    0.0   63.9  100.0    n/a    0.0    0.00
legacy                        no_affect            62.0    6.0   11.1  100.0    0.0    0.0    0.00
legacy                        affect_only          62.0    6.0   11.1  100.0    0.0    0.0    0.00
legacy                        full_v02             62.0    6.0   11.1  100.0    0.0   72.0    2.70
legacy                        no_concern           62.0    6.0   11.1  100.0    0.0   54.0    1.36
legacy                        no_empathy           62.0    6.0   11.1  100.0    0.0   56.0    1.78
legacy                        no_guilt             62.0    6.0   11.1  100.0    0.0   72.0    2.42
legacy                        no_persistence       62.0    6.0   11.1  100.0    0.0   72.0    2.70
legacy                        strong_affect        62.0    6.0   11.1  100.0    0.0   78.0    3.76
legacy                        always_deliberate    64.0    0.0   11.1  100.0  100.0  100.0    5.56
legacy                        evidence_gate        62.0    6.0   11.1  100.0    0.0    0.0    0.00
legacy-checked                no_affect            64.0    0.0   11.1  100.0    n/a    0.0    0.00
legacy-checked                affect_only          64.0    0.0   11.1  100.0    n/a    0.0    0.00
legacy-checked                full_v02             64.0    0.0   11.1  100.0    n/a   78.0    2.90
legacy-checked                no_concern           64.0    0.0   11.1  100.0    n/a   58.0    1.44
legacy-checked                no_empathy           64.0    0.0   11.1  100.0    n/a   62.0    1.90
legacy-checked                no_guilt             64.0    0.0   11.1  100.0    n/a   78.0    2.62
legacy-checked                no_persistence       64.0    0.0   11.1  100.0    n/a   78.0    2.90
legacy-checked                strong_affect        64.0    0.0   11.1  100.0    n/a   84.0    4.02
legacy-checked                always_deliberate    64.0    0.0   11.1  100.0    n/a  100.0    5.56
legacy-checked                evidence_gate        64.0    0.0   11.1  100.0    n/a    0.0    0.00
Saved 5500 primary decisions + 210 episode probe decisions to C:\Users\yomas\github\Artificial Moral Architecture\results\v02
